Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,unassigned,00:00:00
Jumanji (1995),Adventure|Children|Fantasy,unassigned,00:00:00
Grumpier Old Men (1995),Comedy|Romance,unassigned,00:00:00
Waiting to Exhale (1995),Comedy|Drama|Romance,unassigned,00:00:00
Father of the Bride Part II (1995),Comedy,unassigned,00:00:00
Heat (1995),Action|Crime|Thriller,unassigned,00:00:00
Sabrina (1995),Comedy|Romance,unassigned,00:00:00
Tom and Huck (1995),Adventure|Children,unassigned,00:00:00
Sudden Death (1995),Action,unassigned,00:00:00
GoldenEye (1995),Action|Adventure|Thriller,unassigned,00:00:00
"American President, The (1995)",Comedy|Drama|Romance,unassigned,00:00:00
Dracula: Dead and Loving It (1995),Comedy|Horror,unassigned,00:00:00
Balto (1995),Adventure|Animation|Children,unassigned,00:00:00
Nixon (1995),Drama,unassigned,00:00:00
Cutthroat Island (1995),Action|Adventure|Romance,unassigned,00:00:00
Casino (1995),Crime|Drama,unassigned,00:00:00
Sense and Sensibility (1995),Drama|Romance,unassigned,00:00:00
Four Rooms (1995),Comedy,unassigned,00:00:00
Ace Ventura: When Nature Calls (1995),Comedy,unassigned,00:00:00
Money Train (1995),Action|Comedy|Crime|Drama|Thriller,unassigned,00:00:00
Get Shorty (1995),Comedy|Crime|Thriller,unassigned,00:00:00
Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,unassigned,00:00:00
Assassins (1995),Action|Crime|Thriller,unassigned,00:00:00
Powder (1995),Drama|Sci-Fi,unassigned,00:00:00
Leaving Las Vegas (1995),Drama|Romance,unassigned,00:00:00
Othello (1995),Drama,unassigned,00:00:00
Now and Then (1995),Children|Drama,unassigned,00:00:00
Persuasion (1995),Drama|Romance,unassigned,00:00:00
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,unassigned,00:00:00
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,unassigned,00:00:00
Dangerous Minds (1995),Drama,unassigned,00:00:00
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,unassigned,00:00:00
Babe (1995),Children|Drama,unassigned,00:00:00
Carrington (1995),Drama|Romance,unassigned,00:00:00
Dead Man Walking (1995),Crime|Drama,unassigned,00:00:00
Across the Sea of Time (1995),Documentary|IMAX,unassigned,00:00:00
It Takes Two (1995),Children|Comedy,unassigned,00:00:00
Clueless (1995),Comedy|Romance,unassigned,00:00:00
"Cry, the Beloved Country (1995)",Drama,unassigned,00:00:00
Richard III (1995),Drama|War,unassigned,00:00:00
Dead Presidents (1995),Action|Crime|Drama,unassigned,00:00:00
Restoration (1995),Drama,unassigned,00:00:00
Mortal Kombat (1995),Action|Adventure|Fantasy,unassigned,00:00:00
To Die For (1995),Comedy|Drama|Thriller,unassigned,00:00:00
How to Make an American Quilt (1995),Drama|Romance,unassigned,00:00:00
Seven (a.k.a. Se7en) (1995),Mystery|Thriller,unassigned,00:00:00
Pocahontas (1995),Animation|Children|Drama|Musical|Romance,unassigned,00:00:00
When Night Is Falling (1995),Drama|Romance,unassigned,00:00:00
"Usual Suspects, The (1995)",Crime|Mystery|Thriller,unassigned,00:00:00
Mighty Aphrodite (1995),Comedy|Drama|Romance,unassigned,00:00:00
Lamerica (1994),Adventure|Drama,unassigned,00:00:00
"Big Green, The (1995)",Children|Comedy,unassigned,00:00:00
Georgia (1995),Drama,unassigned,00:00:00
Home for the Holidays (1995),Drama,unassigned,00:00:00
"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,unassigned,00:00:00
"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,unassigned,00:00:00
"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,unassigned,00:00:00
Eye for an Eye (1996),Drama|Thriller,unassigned,00:00:00
Mr. Holland's Opus (1995),Drama,unassigned,00:00:00
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,unassigned,00:00:00
Two if by Sea (1996),Comedy|Romance,unassigned,00:00:00
Bio-Dome (1996),Comedy,unassigned,00:00:00
Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,unassigned,00:00:00
French Twist (Gazon maudit) (1995),Comedy|Romance,unassigned,00:00:00
Friday (1995),Comedy,unassigned,00:00:00
From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,unassigned,00:00:00
Fair Game (1995),Action,unassigned,00:00:00
Kicking and Screaming (1995),Comedy|Drama,unassigned,00:00:00
"Misérables, Les (1995)",Drama|War,unassigned,00:00:00
Bed of Roses (1996),Drama|Romance,unassigned,00:00:00
Screamers (1995),Action|Sci-Fi|Thriller,unassigned,00:00:00
Nico Icon (1995),Documentary,unassigned,00:00:00
"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,unassigned,00:00:00
"Juror, The (1996)",Drama|Thriller,unassigned,00:00:00
"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,unassigned,00:00:00
Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,unassigned,00:00:00
Antonia's Line (Antonia) (1995),Comedy|Drama,unassigned,00:00:00
Once Upon a Time... When We Were Colored (1995),Drama|Romance,unassigned,00:00:00
Last Summer in the Hamptons (1995),Comedy|Drama,unassigned,00:00:00
Angels and Insects (1995),Drama|Romance,unassigned,00:00:00
White Squall (1996),Action|Adventure|Drama,unassigned,00:00:00
Dunston Checks In (1996),Children|Comedy,unassigned,00:00:00
Black Sheep (1996),Comedy,unassigned,00:00:00
Nick of Time (1995),Action|Thriller,unassigned,00:00:00
Mary Reilly (1996),Drama|Horror|Thriller,unassigned,00:00:00
Vampire in Brooklyn (1995),Comedy|Horror|Romance,unassigned,00:00:00
Beautiful Girls (1996),Comedy|Drama|Romance,unassigned,00:00:00
Broken Arrow (1996),Action|Adventure|Thriller,unassigned,00:00:00
In the Bleak Midwinter (1995),Comedy|Drama,unassigned,00:00:00
"Hate (Haine, La) (1995)",Crime|Drama,unassigned,00:00:00
Shopping (1994),Action|Thriller,unassigned,00:00:00
Heidi Fleiss: Hollywood Madam (1995),Documentary,unassigned,00:00:00
City Hall (1996),Drama|Thriller,unassigned,00:00:00
Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,unassigned,00:00:00
Mr. Wrong (1996),Comedy,unassigned,00:00:00
Unforgettable (1996),Mystery|Sci-Fi|Thriller,unassigned,00:00:00
Happy Gilmore (1996),Comedy,unassigned,00:00:00
"Bridges of Madison County, The (1995)",Drama|Romance,unassigned,00:00:00
Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,unassigned,00:00:00
Catwalk (1996),Documentary,unassigned,00:00:00
Braveheart (1995),Action|Drama|War,unassigned,00:00:00
Taxi Driver (1976),Crime|Drama|Thriller,unassigned,00:00:00
Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,unassigned,00:00:00
Before and After (1996),Drama|Mystery,unassigned,00:00:00
Margaret's Museum (1995),Drama,unassigned,00:00:00
Anne Frank Remembered (1995),Documentary,unassigned,00:00:00
"Young Poisoner's Handbook, The (1995)",Crime|Drama,unassigned,00:00:00
If Lucy Fell (1996),Comedy|Romance,unassigned,00:00:00
"Steal Big, Steal Little (1995)",Comedy,unassigned,00:00:00
"Boys of St. Vincent, The (1992)",Drama,unassigned,00:00:00
Boomerang (1992),Comedy|Romance,unassigned,00:00:00
Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,unassigned,00:00:00
"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,unassigned,00:00:00
Flirting With Disaster (1996),Comedy,unassigned,00:00:00
"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,unassigned,00:00:00
Pie in the Sky (1996),Comedy|Romance,unassigned,00:00:00
Angela (1995),Drama,unassigned,00:00:00
